E,f1,f2,PE,C+i,Total,K,lambda
2.080733,18.094,1.0563,546.36,2.8436,549.2,0.0,0.5959
2.224304,17.9866,0.94505,457.28,2.7847,460.06,0.0,0.5574
2.377781,17.8682,0.84636,383.09,2.7198,385.81,0.0,0.5214
2.541848,17.7332,0.7587,321.25,2.6493,323.9,0.0,0.4878
2.717235,17.5716,0.68077,269.65,2.5741,272.22,0.0,0.4563
2.904724,17.3645,0.61143,226.55,2.4946,229.04,0.0,0.4268
3.10515,17.0762,0.54407,188.58,2.4116,190.99,0.0,0.3993
3.319406,16.566,0.47995,155.62,2.3258,157.95,0.0,0.3735
3.535252,15.1657,0.42673,129.91,2.2426,132.15,0.0,0.3507
3.548445,14.9494,0.42379,128.54,2.2376,130.78,0.0,0.3494
3.589363,13.642,0.41486,124.4,2.2223,126.62,0.0,0.3454
3.603793,11.8067,0.41178,122.98,2.2169,125.2,0.0,0.344
3.625437,13.6705,4.0255,1195.0,2.2089,1197.2,1074.0,0.342
3.679548,15.3599,3.9276,1148.8,2.189,1151.0,1033.0,0.337
3.793288,16.5531,3.7342,1059.5,2.1479,1061.6,953.2,0.3269
4.055024,17.6584,3.3541,890.25,2.0571,892.31,802.3,0.3058
4.334821,18.2298,3.0167,749.0,1.9659,750.97,676.2,0.286
4.633924,18.5966,2.7144,630.45,1.8747,632.32,570.1,0.2676
4.953664,18.8512,2.4328,528.56,1.7841,530.34,478.5,0.2503
5.295467,19.0266,2.177,442.46,1.6946,444.15,400.9,0.2341
5.660855,19.1497,1.9467,370.12,1.6065,371.73,335.6,0.219
6.051453,19.2357,1.7396,309.4,1.5202,310.92,280.8,0.2049
6.469004,19.2949,1.5542,258.57,1.4361,260.01,234.8,0.1917
6.915365,19.3348,1.3883,216.07,1.3545,217.42,196.3,0.1793
7.392525,19.4018,1.2373,180.13,1.2756,181.41,163.8,0.1677
7.902609,19.4134,1.0989,149.66,1.1996,150.86,136.2,0.1569
8.44789,19.4155,0.97605,124.35,1.1266,125.48,113.2,0.1468
9.030794,19.4122,0.86567,103.17,1.0569,104.23,93.96,0.1373
9.653919,19.4018,0.76367,85.137,0.99047,86.127,77.61,0.1284
10.32004,19.3862,0.67372,70.262,0.92736,71.189,64.1,0.1201
11.03212,19.3677,0.59441,57.99,0.86762,58.858,52.95,0.1124
11.79334,19.3476,0.52447,47.864,0.81125,48.675,43.73,0.1051
12.60708,19.3268,0.46278,39.508,0.7582,40.266,36.12,0.09834
13.47697,19.3059,0.40837,32.613,0.70842,33.321,29.84,0.092
14.40688,19.2855,0.36038,26.922,0.66185,27.584,24.64,0.08606
15.40095,19.2659,0.31804,22.226,0.61839,22.844,20.36,0.0805
16.46362,19.247,0.2792,18.252,0.57794,18.83,16.72,0.07531
17.59961,19.2283,0.24474,14.967,0.54037,15.507,13.71,0.07045
18.81398,19.2102,0.21455,12.273,0.50557,12.779,11.24,0.0659
20.11215,19.1929,0.18808,10.065,0.4734,10.538,9.213,0.06165
21.49988,19.1767,0.16489,8.2542,0.44372,8.6979,7.554,0.05767
22.98338,19.1616,0.14456,6.7694,0.4164,7.1858,6.193,0.05395
24.56923,19.1476,0.12674,5.552,0.39128,5.9433,5.078,0.05046
26.2645,19.135,0.11112,4.5536,0.36823,4.9218,4.163,0.04721
28.07676,19.1233,0.09682,3.7114,0.34711,4.0585,3.393,0.04416
30.01405,19.1119,0.084188,3.0189,0.32778,3.3467,2.76,0.04131
32.08502,19.1014,0.073206,2.4556,0.31011,2.7657,2.245,0.03864
34.29889,19.0917,0.063658,1.9975,0.29396,2.2915,1.827,0.03615
36.66551,19.0827,0.055356,1.6249,0.27922,1.9041,1.486,0.03381
39.19543,19.0746,0.048138,1.3218,0.26576,1.5876,1.209,0.03163
41.89992,19.0671,0.041862,1.0753,0.25347,1.3288,0.9833,0.02959
44.79101,19.0603,0.036404,0.87475,0.24224,1.117,0.7999,0.02768
47.88159,19.0542,0.031659,0.71163,0.23198,0.94361,0.6507,0.02589
51.18542,19.0486,0.027533,0.57893,0.22259,0.80152,0.5293,0.02422
54.71721,19.0436,0.023945,0.47099,0.21398,0.68497,0.4306,0.02266
58.4927,19.0391,0.020825,0.38317,0.20607,0.58924,0.3503,0.0212
62.5287,19.035,0.018111,0.31174,0.1988,0.51054,0.2849,0.01983
66.84318,19.0313,0.015752,0.25362,0.19208,0.4457,0.2318,0.01855
71.45536,19.028,0.0137,0.20635,0.18586,0.39221,0.1885,0.01735
76.38578,19.0251,0.011915,0.16788,0.18009,0.34797,0.1534,0.01623
81.6564,19.0224,0.010336,0.13624,0.1747,0.31094,0.1244,0.01518
87.29069,19.02,0.0089613,0.11049,0.16965,0.28014,0.1009,0.0142
93.31374,19.0178,0.0077691,0.089608,0.16491,0.25452,0.08186,0.01329
99.75239,19.0159,0.0067356,0.072673,0.16043,0.2331,0.0664,0.01243
106.6353,19.0142,0.0058397,0.05894,0.15618,0.21512,0.05385,0.01163
113.9931,19.0126,0.0050629,0.047802,0.15213,0.19993,0.04368,0.01088
121.8587,19.0112,0.0043895,0.038769,0.14825,0.18702,0.03543,0.01017
130.2669,19.01,0.0038057,0.031443,0.14453,0.17597,0.02873,0.009518
139.2553,19.0089,0.0032996,0.025502,0.14095,0.16645,0.02331,0.008903
148.864,19.0079,0.0028608,0.020683,0.13747,0.15815,0.0189,0.008329
159.1356,19.007,0.0024804,0.016775,0.1341,0.15088,0.01533,0.007791
170.1159,19.0062,0.0021505,0.013606,0.13082,0.14443,0.01244,0.007288
181.8539,19.0055,0.0018646,0.011035,0.12762,0.13866,0.01009,0.006818
194.4018,19.0049,0.0016166,0.0089503,0.12448,0.13343,0.008181,0.006378
207.8156,19.0044,0.0014017,0.0072593,0.12141,0.12867,0.006635,0.005966
222.1548,19.0039,0.0012153,0.0058879,0.11839,0.12428,0.005382,0.005581
237.4835,19.0034,0.0010537,0.0047756,0.11543,0.12021,0.004365,0.005221
253.8699,19.003,0.00091366,0.0038734,0.11251,0.11638,0.00354,0.004884
271.3869,19.0027,0.00079219,0.0031417,0.10964,0.11278,0.002872,0.004569
290.1126,19.0024,0.00068688,0.0025482,0.10681,0.10936,0.002329,0.004274
310.1304,19.0021,0.00059557,0.0020668,0.10402,0.10609,0.001889,0.003998
